mission_time_s,tx,ty,tz,error,d1,d2,d3,x1,x2,x3,y1,y2,y3,z1,z2,z3
0.493246,NaN,NaN,NaN,NaN,0,0,0,0.025514,-1.966267,1.972238,0.021760,-2.023583,-1.969875,0.052711,0.047009,-0.009975
0.512899,NaN,NaN,NaN,NaN,0,0,0,0.025150,-1.966381,1.972152,0.022067,-2.024222,-1.969740,0.052742,0.047249,-0.010048
0.524813,NaN,NaN,NaN,NaN,0,0,0,0.025034,-1.966491,1.972124,0.022167,-2.024842,-1.969695,0.052753,0.047485,-0.010071
0.535791,NaN,NaN,NaN,NaN,0,0,0,0.024799,-1.966577,1.972096,0.022370,-2.025174,-1.969672,0.052780,0.047600,-0.010071
0.544958,NaN,NaN,NaN,NaN,0,0,0,0.024685,-1.966745,1.972040,0.022471,-2.025826,-1.969625,0.052795,0.047825,-0.010071
0.552674,NaN,NaN,NaN,NaN,0,0,0,0.024573,-1.966827,1.972013,0.022570,-2.026145,-1.969601,0.052811,0.047932,-0.010071
0.573105,NaN,NaN,NaN,NaN,0,0,0,0.024233,-1.966939,1.971929,0.022834,-2.026501,-1.969612,0.052872,0.048038,-0.010036
0.584284,NaN,NaN,NaN,NaN,0,0,0,0.024125,-1.967158,1.971900,0.022920,-2.027198,-1.969611,0.052887,0.048252,-0.010014
0.593252,NaN,NaN,NaN,NaN,0,0,0,0.024018,-1.967392,1.971842,0.023006,-2.027914,-1.969625,0.052906,0.048450,-0.009968
0.612785,NaN,NaN,NaN,NaN,0,0,0,0.023909,-1.967518,1.971736,0.023072,-2.028283,-1.969683,0.052925,0.048546,-0.009949
0.624828,NaN,NaN,NaN,NaN,0,0,0,0.023594,-1.967899,1.971684,0.023267,-2.029384,-1.969710,0.052979,0.048794,-0.009937
0.634437,NaN,NaN,NaN,NaN,0,0,0,0.023478,-1.968033,1.971590,0.023332,-2.029756,-1.969789,0.052994,0.048866,-0.009922
0.652579,NaN,NaN,NaN,NaN,0,0,0,0.023364,-1.968296,1.971498,0.023397,-2.030486,-1.969864,0.053013,0.049011,-0.009903
0.663706,NaN,NaN,NaN,NaN,0,0,0,0.023013,-1.968424,1.971450,0.023578,-2.030858,-1.969908,0.053078,0.049076,-0.009895
0.683696,NaN,NaN,NaN,NaN,0,0,0,0.022762,-1.968798,1.971310,0.023681,-2.031948,-1.970031,0.053112,0.049271,-0.009880
0.703654,NaN,NaN,NaN,NaN,0,0,0,0.022365,-1.969040,1.971191,0.023816,-2.032675,-1.970114,0.053162,0.049374,-0.009853
0.724350,NaN,NaN,NaN,NaN,0,0,0,0.022099,-1.969392,1.971016,0.023901,-2.033736,-1.970231,0.053192,0.049522,-0.009815
0.733605,NaN,NaN,NaN,NaN,0,0,0,0.021951,-1.969513,1.970943,0.023945,-2.034076,-1.970278,0.053200,0.049557,-0.009800
0.752707,NaN,NaN,NaN,NaN,0,0,0,0.021519,-1.969633,1.970727,0.024080,-2.034413,-1.970411,0.053226,0.049595,-0.009785
0.763410,NaN,NaN,NaN,NaN,0,0,0,0.021368,-1.969870,1.970637,0.024134,-2.035075,-1.970462,0.053230,0.049675,-0.009769
0.773218,NaN,NaN,NaN,NaN,0,0,0,0.021218,-1.969989,1.970549,0.024188,-2.035389,-1.970512,0.053234,0.049713,-0.009754
0.785657,NaN,NaN,NaN,NaN,0,0,0,0.020927,-1.970106,1.970376,0.024296,-2.035700,-1.970608,0.053246,0.049747,-0.009720
0.794045,NaN,NaN,NaN,NaN,0,0,0,0.020781,-1.970454,1.970292,0.024362,-2.036598,-1.970668,0.053238,0.049835,-0.009697
0.813282,NaN,NaN,NaN,NaN,0,0,0,0.020496,-1.970570,1.970124,0.024495,-2.036881,-1.970783,0.053219,0.049862,-0.009655
0.825469,NaN,NaN,NaN,NaN,0,0,0,0.020210,-1.970797,1.969973,0.024631,-2.037440,-1.970907,0.053200,0.049911,-0.009609
0.834628,NaN,NaN,NaN,NaN,0,0,0,0.020067,-1.970917,1.969905,0.024700,-2.037709,-1.970974,0.053188,0.049923,-0.009586
0.843762,NaN,NaN,NaN,NaN,0,0,0,0.019927,-1.971153,1.969837,0.024770,-2.038240,-1.971038,0.053177,0.049942,-0.009563
0.853547,NaN,NaN,NaN,NaN,0,0,0,0.019651,-1.971269,1.969770,0.024911,-2.038502,-1.971101,0.053154,0.049953,-0.009541
0.864959,NaN,NaN,NaN,NaN,0,0,0,0.019509,-1.971387,1.969712,0.024995,-2.038748,-1.971184,0.053143,0.049946,-0.009506
0.873496,NaN,NaN,NaN,NaN,0,0,0,0.019369,-1.971620,1.969597,0.025079,-2.039234,-1.971343,0.053127,0.049931,-0.009441
0.893335,NaN,NaN,NaN,NaN,0,0,0,0.019093,-1.971858,1.969474,0.025249,-2.039721,-1.971524,0.053120,0.049904,-0.009373
0.906450,NaN,NaN,NaN,NaN,0,0,0,0.018815,-1.971979,1.969345,0.025445,-2.039967,-1.971726,0.053097,0.049889,-0.009296
0.912959,NaN,NaN,NaN,NaN,0,0,0,0.018678,-1.972099,1.969281,0.025544,-2.040210,-1.971824,0.053085,0.049873,-0.009262
0.924058,NaN,NaN,NaN,NaN,0,0,0,0.018544,-1.972337,1.969235,0.025642,-2.040698,-1.971939,0.053074,0.049835,-0.009220
0.933724,NaN,NaN,NaN,NaN,0,0,0,0.018270,-1.972453,1.969189,0.025869,-2.040942,-1.972052,0.053043,0.049820,-0.009178
0.953059,NaN,NaN,NaN,NaN,0,0,0,0.018002,-1.972682,1.969080,0.026096,-2.041425,-1.972387,0.053009,0.049786,-0.009048
0.973451,NaN,NaN,NaN,NaN,0,0,0,0.017585,-1.972930,1.969040,0.026497,-2.041908,-1.972612,0.052948,0.049759,-0.008949
0.985484,NaN,NaN,NaN,NaN,0,0,0,0.017448,-1.973291,1.968999,0.026631,-2.042617,-1.972827,0.052929,0.049751,-0.008850
0.996985,NaN,NaN,NaN,NaN,0,0,0,0.017299,-1.973424,1.969011,0.026777,-2.042854,-1.972948,0.052910,0.049740,-0.008804
1.013863,NaN,NaN,NaN,NaN,0,0,0,0.017152,-1.973556,1.969033,0.026922,-2.043089,-1.973182,0.052887,0.049732,-0.008713
1.030754,NaN,NaN,NaN,NaN,0,0,0,0.016703,-1.973813,1.969043,0.027364,-2.043554,-1.973296,0.052814,0.049717,-0.008667
1.039966,NaN,NaN,NaN,NaN,0,0,0,0.016545,-1.974073,1.969078,0.027515,-2.044009,-1.973416,0.052792,0.049702,-0.008614
1.049324,NaN,NaN,NaN,NaN,0,0,0,0.016389,-1.974200,1.969146,0.027665,-2.044235,-1.973648,0.052765,0.049690,-0.008518
1.059330,NaN,NaN,NaN,NaN,0,0,0,0.016234,-1.974325,1.969178,0.027816,-2.044460,-1.973760,0.052742,0.049683,-0.008476
1.078185,NaN,NaN,NaN,NaN,0,0,0,0.015892,-1.974742,1.969349,0.028123,-2.045134,-1.974116,0.052719,0.049648,-0.008331
1.091752,NaN,NaN,NaN,NaN,0,0,0,0.015556,-1.974876,1.969402,0.028431,-2.045356,-1.974230,0.052715,0.049641,-0.008282
1.098620,NaN,NaN,NaN,NaN,0,0,0,0.015192,-1.975006,1.969483,0.028741,-2.045578,-1.974339,0.052711,0.049641,-0.008224
1.108471,NaN,NaN,NaN,NaN,0,0,0,0.015013,-1.975133,1.969563,0.028897,-2.045799,-1.974447,0.052708,0.049641,-0.008175
1.128511,NaN,NaN,NaN,NaN,0,0,0,0.014661,-1.975510,1.969811,0.029209,-2.046447,-1.974753,0.052685,0.049648,-0.008026
1.150443,NaN,NaN,NaN,NaN,0,0,0,0.014169,-1.975634,1.969994,0.029676,-2.046654,-1.974943,0.052620,0.049664,-0.007912
1.159400,NaN,NaN,NaN,NaN,0,0,0,0.014008,-1.976005,1.970184,0.029832,-2.047267,-1.975127,0.052601,0.049721,-0.007805
